freq,statinfo,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,MEAN_EI,EUR,ED5-8,T,Y_GE65,SK	: 	: 	3569 	3993 	4263 	5448 	6452 	7473 	7555 	7951 	7757 	7915 	8473 	8579 	8517 	8911 	9433 	9832 	10368 	10815 	11115 	13254 	17559 
A,MEAN_EI,EUR,ED5-8,T,Y_GE65,TR	: 	: 	: 	12626 	13862 	12824 	14190 	11012 	12017 	12318 	13155 	12881 	12444 	12606 	12737 	13600 	9801 	11613 	9151 	10332 	8129 	10746 	15415 
A,MEAN_EI,EUR,ED5-8,T,Y_GE65,UK	: 	: 	26654 	28110 	30014 	26697 	22964 	23810 	24126 	26708 b	26159 	28313 	29410 	29790 	31304 b	28947 	: 	: 	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED5-8,T,Y_GE65,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5158 	: 	: 	: 	: 	: 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	231239 	250368 	269425 	292084 	297321 	353203 	436060 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,AT	15075 	16221 	16254 	16359 	16839 	17767 b	19022 	19110 	20206 	20213 	20302 	20809 	20788 	20688 	21786 	22337 	23492 	22914 	23077 	22830 	26926 	28560 	29672 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,BE	14551 	13888 	15279 	15742 	16069 	16374 	17127 	16788 	16810 	16733 	17598 	17562 	17439 	17735 	17740 	18264 	19810 b	20572 	20649 	20935 	22253 	24217 	25450 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,BG	: 	: 	: 	2160 	2258 	3853 	4611 	4391 	3954 	4111 	4100 	4435 	4744 	4089 b	4600 	4877 	5470 	5963 	7298 	6797 	7986 	9817 	11899 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,CH	: 	: 	: 	: 	43450 	43149 	42786 	42066 	41889 	42257 	43582 	42118 b	42944 	42675 	42194 	41698 	42750 	41543 	45235 	43566 	44384 	42451 	: 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,CY	: 	: 	7277 	7890 	8563 	8789 b	15727 	15148 	16113 	15779 	14804 	13893 	12664 	12697 	13054 	13418 	14752 	14625 	15613 	15628 	17287 	20512 	20776 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,CZ	: 	: 	124847 	130727 	141055 	154250 	163484 	169067 	170856 	169801 	168071 	171267 	174137 	180173 	195029 	204392 	222108 	234912 	248490 	269335 	279666 	299311 	322964 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,DE	: 	: 	17080 	16294 	16399 	17576 	17037 	16761 	16759 	17277 	17191 	16602 	17161 	16932 	17899 	18702 	18829 	24459 b	22563 	22327 	23600 	24252 	25143 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,DK	159913 	158160 	159712 	169536 	168792 	181092 	179535 	194377 	206752 b	194461 	199689 	211351 	215745 	214843 	211069 	231562 	254135 	214613 	226535 	231642 	247001 	255100 	262144 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,EE	: 	2409 	2854 	3398 	4156 	4678 	5479 	5219 	4846 	5283 	5967 	6620 b	6996 	7466 	8001 	8907 	9723 	11053 	11235 	13428 	13853 	14049 	15114 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,EL	7509 	8096 	8835 	9474 	9801 	9906 	10456 	10830 	9905 	7984 	6940 	6512 	6614 	6527 	6780 	7005 	7432 	7636 	7422 	8094 	8507 	9215 	10152 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,ES	: 	9903 	10337 	10730 	11309 	13812 b	14257 	14152 	13314 	13043 	12466 	11805 	11566 	11742 	12274 	12840 	13186 	13782 	13399 	14332 	15389 	16447 	17320 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,FI	: 	18381 	18323 	18277 	18564 	19778 	21188 	21056 	21840 	23055 	22513 	23058 	22417 	22559 	22907 	22956 	22447 	24542 	26121 	25861 	27679 	28241 	27313 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,FR	: 	15274 	15508 	15750 	15858 	19081 	18829 	19041 	19199 b	19577 	18737 	19485 	19681 	19744 	19510 	20964 	20166 	18562 b	18933 	18917 b	19667 	20607 	21477 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,HR	: 	: 	: 	: 	: 	: 	: 	37296 	34701 	34548 	33252 	34110 	34775 	37179 	38586 	41035 	44925 	49647 	49072 	54336 	8029 b	9981 b	12093 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,HU	: 	: 	782022 	817281 	900194 	953861 	1033499 	996387 	1006210 	1035285 	990232 	1031772 	1081975 	1212441 	1299735 	1330935 	1531999 b	1549989 	1776651 	1976234 	2222768 	2427161 	2727940 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,IE	15817 	17070 	17551 	18260 	20194 	21098 	20919 	19592 	17850 	17753 	17327 	17423 	18569 	18739 	19825 	20642 	20653 b	22747 b	24115 	25761 	28076 	29586 	31440 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,IS	: 	2051975 	2262768 	2549452 	2818849 	3118251 	3605902 	3401006 	3258007 	3362225 	3630007 	4016527 	4078896 	4514996 	4875595 	5113060 	4930638 	4982210 	: 	: 	: 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,IT	: 	13783 	14274 	14485 	14527 	14918 	14873 	15461 	14910 	14909 	14457 	14365 	14129 	14004 	14567 	14774 	15259 	16031 	15648 	16328 	17278 	17880 	18865 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,LT	: 	: 	6210 	6931 	9013 	10752 	12327 	11743 	10585 	12028 	12466 	13814 	4683 	4691 	4783 	5735 	7507 	7224 	7991 	8539 	8968 	10980 p	11330 p
A,MEAN_EI,NAC,ED0-2,F,Y18-64,LU	24874 	26035 	26607 	27270 	28283 	28575 	28689 	29455 	28915 	28722 	28873 	29287 	30229 	29218 b	31647 	30490 	30526 	31210 b	33820 b	36021 b	36096 	39900 	40335 b
A,MEAN_EI,NAC,ED0-2,F,Y18-64,LV	: 	: 	1809 	2126 	2811 	3940 	4360 	3848 	3529 	3578 	3793 	4028 	4415 	4974 	5286 	5839 	6572 	6772 	7688 	8038 	9975 	11786 	11463 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2390 	2312 	2457 	2449 	2660 	2694 	2753 	3096 	2991 	3498 	4313 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	98950 	107884 	116285 	120286 	122398 	127072 	129305 	132561 	146571 	153232 b	165044 	191037 	219667 	: 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,MT	: 	: 	3952 	4041 	9397 	10355 	11027 	10868 	10948 	11404 	11530 	12132 	12684 	12849 	13475 	13844 	14318 	15249 	15710 	17043 	18052 	19226 	21117 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,NL	: 	: 	16949 	17748 	18063 	19732 	20311 	19891 	19648 	19915 	19827 	19620 	19743 	21239 b	22304 	22578 	23223 	24859 	25763 	27200 	27202 	29404 	32168 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,NO	211854 	211893 	216322 	235052 	224484 	248772 	266271 	278200 	273463 	287703 	299086 	326370 	311618 	323161 	337878 	340805 	353653 	365867 	367857 b	369881 	402663 b	445182 	451475 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,PL	: 	: 	9980 	10695 	11430 	13476 	14924 	15683 	16818 	17216 	17828 	18076 	18374 	19746 	21361 	22332 	24880 	27608 	31341 	33881 	38014 	42178 	49654 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,PT	: 	7415 	7796 	7961 	8295 	8739 	8586 	8941 	8630 	8533 	8176 	7784 	7775 	8150 	8352 	8688 	9314 	9767 	9931 	10000 	10877 	11740 	13224 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,RO	: 	: 	: 	: 	4795 	5587 	6596 	7104 	6918 	6637 	6857 	6870 	8775 	9344 	9245 	10867 	12575 	13801 	15997 	18752 	21100 	27130 	28037 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	226375 	219908 	226934 	257301 	256108 	239875 	287985 	326217 	338621 	398566 	452088 	531644 	674193 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,SE	: 	159020 	168512 	169155 	177846 	180069 b	185121 	196127 	192599 	206964 	201159 	212922 	210992 	212569 	215950 	221007 	211674 	231738 	223634 	232545 	234659 	268290 	282740 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,SI	: 	: 	1879764 	2003576 	8786 	9650 	10606 	10080 	10415 	10334 	9952 	10076 	10386 	10391 	10805 	11237 	12006 	12597 	13144 	14276 	15207 	16975 	18581 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,SK	: 	: 	105915 	114477 	127141 	143625 	5030 	5153 	5285 	5644 	5672 	5522 	5525 	5494 	5549 	5720 	6104 	6432 	6238 	6354 	6540 	7331 	9979 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,TR	: 	: 	: 	5168 	6151 	6728 	7351 	7506 	8405 	9394 	9864 	9947 	11186 	12733 	14659 	16423 	19225 	21980 	24171 	33460 	58716 	117319 	233044 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,UK	: 	: 	11580 	11925 	12673 	13161 	13236 	13621 	12814 	13643 b	14280 	15643 	16646 	16395 	15456 b	17172 	: 	: 	: 	: 	: 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y18-64,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2219 	: 	: 	: 	: 	: 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	238152 	256664 	277078 	298386 	303057 	355566 	432918 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,AT	14540 	15906 	16724 	16037 	16440 	16887 b	18137 	18165 	19258 	19458 	19636 	20383 	20482 	20615 	21586 	22066 	23146 	23053 	23397 	23582 	26323 	28102 	30216 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,BE	13770 	13452 	14490 	14634 	15152 	15365 	16246 	16306 	16238 	16150 	17014 	17241 	17100 	17507 	17622 	18170 	19484 b	19868 	20358 	20534 	22091 	23871 	25044 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,BG	: 	: 	: 	2263 	2337 	3656 	4329 	4394 	4138 	4183 	4279 	4862 	4722 	4368 b	4781 	4973 	5646 	6012 	7428 	7071 	8796 	10639 	12564 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,CH	: 	: 	: 	: 	40135 	39925 	38598 	39246 	39014 	39425 	40303 	39381 b	40235 	39603 	39608 	38793 	38516 	38601 	41579 	39621 	41060 	40289 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,CY	: 	: 	6585 	7178 	7753 	8040 b	14380 	13939 	14717 	14580 	14235 	13041 	12216 	12231 	12476 	13032 	13703 	13935 	14363 	14765 	15801 	17327 	17708 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,CZ	: 	: 	122777 	128796 	139135 	150085 	158821 	164196 	165755 	166926 	165980 	167374 	170072 	176546 	186072 	193860 	208191 	222228 	237044 	249740 	266775 	294240 	312003 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,DE	: 	: 	16864 	15620 	15958 	17045 	16953 	16881 	17075 	17342 	17326 	16765 	17294 	17315 	18133 	18900 	19302 	23659 b	21844 	21743 	22965 	23637 	24560 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,DK	147826 	145515 	146349 	153159 	153592 	162296 	161533 	170177 	183401 b	180785 	179282 	190578 	196250 	194110 	193338 	205811 	217447 	197755 	208331 	218466 	264494 	237759 	244338 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,EE	: 	2226 	2558 	3007 	3604 	4109 	4846 	4832 	4625 	4894 	5445 	5899 b	6211 	6604 	7022 	7691 	8361 	9424 	9746 	11301 	12031 	12647 	13849 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,EL	7454 	7959 	8657 	9197 	9601 	9923 	10496 	10772 	9770 	8539 	7639 	7016 	7085 	7041 	7186 	7370 	7681 	8047 	7823 	8411 	8640 	9207 	9806 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,ES	: 	9594 	10011 	10466 	11086 	13702 b	14343 	14357 	13606 	13502 	13165 	12642 	12418 	12626 	12981 	13349 	13898 	14548 	14282 	15081 	16240 	17473 	18483 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,FI	: 	15770 	15863 	15987 	16283 	16998 	18118 	18496 	18935 	19833 	20095 	20442 	20268 	20322 	20612 	20739 	20301 	21372 	21931 	21542 	23363 	24976 	25749 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,FR	: 	15146 	15451 	15241 	16042 	19051 	19186 	19630 	19704 b	20146 	20049 	20288 	20479 	20358 	20385 	21233 	20544 	19552 b	19743 	19591 b	20531 	21598 	22577 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,HR	: 	: 	: 	: 	: 	: 	: 	35541 	32841 	32985 	32357 	33119 	33591 	35331 	37179 	38804 	41804 	45329 	45780 	49605 	7245 b	8843 b	10619 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,HU	: 	: 	805679 	844370 	926262 	1000019 	1075885 	1057453 	1059797 	1090089 	1081376 	1128195 	1171701 	1262813 	1332192 	1382554 	1579775 b	1628942 	1817199 	2084041 	2308761 	2548204 	2729944 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,IE	14654 	15886 	16411 	17443 	19278 	20200 	19992 	19112 	17779 	17615 	17709 	17578 	18869 	18858 	19432 	20144 	21094 b	22715 b	23488 	24762 	27469 	28140 	29718 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,IS	: 	1953116 	2139295 	2391871 	2699680 	2945028 	3536621 	3360266 	3120423 	3245512 	3469296 	3744328 	3877401 	4293941 	4815820 	4984643 	4885448 	4978537 	: 	: 	: 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,IT	: 	13546 	13843 	14097 	14311 	14742 	14826 	15381 	15032 	15191 	14932 	15010 	14878 	15090 	15539 	15769 	16017 	16747 	16513 	16907 	18109 	18599 	19620 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,LT	: 	: 	5988 	6817 	8647 	10757 	12978 	12690 	11665 	12345 	13361 	13544 	4251 	4530 	4581 	5162 	6168 	6509 	7323 	7436 	8000 	9298 p	9861 p
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,LU	25893 	26683 	27689 	28095 	29142 	29608 	29939 	30687 	30587 	30507 	30825 	31322 	31999 	31674 b	33753 	33200 	34132 	35114 b	38908 b	38892 b	40187 	43376 	43903 b
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,LV	: 	: 	1743 	2008 	2694 	3583 	4137 	3855 	3654 	3706 	3861 	3997 	4343 	4681 	4779 	5288 	5630 	6166 	6851 	7168 	8625 	10187 	10172 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2705 	2690 	2746 	2785 	3001 	3080 	3169 	3404 	3274 	3656 	4579 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	103290 	111574 	118386 	123858 	127579 	134434 	140525 	144149 	160515 	167817 b	176598 	201433 	235346 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,MT	: 	: 	3816 	3946 	9145 	9940 	10647 	10565 	10637 	11160 	11354 	11778 	12210 	12138 	12752 	12972 	13485 	14567 	15033 	16197 	16771 	17949 	19855 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,NL	: 	: 	16429 	17046 	17264 	18571 	19561 	19278 	18891 	19404 	19428 	19205 	19424 	20269 b	20982 	21208 	21759 	22870 	23630 	24722 	25217 	27276 	29603 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,NO	175002 	177690 	179925 	205787 	206121 	227867 	243698 	249986 	252891 	271978 	281600 	303089 	299178 	306828 	318095 	324552 	336052 	352718 	356141 b	368723 	394840 b	430676 	438527 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,PL	: 	: 	10886 	11620 	12360 	13980 	15107 	16144 	17128 	17765 	18638 	19083 	19622 	20476 	21480 	22590 	24683 	27383 	30747 	34570 	39436 	44785 	50769 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,PT	: 	7496 	7882 	8077 	8411 	8772 	8767 	8990 	8772 	8935 	8495 	7943 	7962 	8392 	8585 	8846 	9547 	10092 	10283 	10462 	11269 	11665 	13575 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,RO	: 	: 	: 	: 	4719 	5575 	6789 	7417 	7375 	7276 	7606 	7837 	8963 	9452 	9700 	11467 	13201 	14767 	16866 	20915 	23891 	29121 	29772 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	245871 	237056 	240300 	265524 	268745 	269005 	306768 	340896 	364475 	408061 	461769 	556670 	690298 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,SE	: 	138118 	147756 	157369 	162349 	158397 b	163707 	170965 	171129 	180683 	181520 	194406 	193360 	194306 	200089 	207196 	201865 	217997 	218985 	222536 	234463 	265595 	274498 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,SI	: 	: 	1779631 	1889535 	8222 	8956 	9842 	9400 	9633 	9740 	9255 	9585 	9784 	9741 	10198 	10568 	11293 	11793 	12355 	13231 	13972 	15307 	15974 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,SK	: 	: 	99527 	110409 	123980 	135525 	4885 	5181 	5549 	5811 	5955 	5974 	5899 	5980 	5986 	6264 	6529 	6991 	6958 	7356 	7772 	8589 	11147 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,TR	: 	: 	: 	5311 	6345 	6843 	7530 	7646 	8564 	9520 	10028 	10060 	11271 	12841 	14703 	16530 	19621 	22459 	25030 	34025 	58336 	114314 	227907 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,UK	: 	: 	10787 	11191 	11867 	12433 	12523 	12726 	12600 	13545 b	13729 	15304 	15995 	15937 	15777 b	16692 	: 	: 	: 	: 	: 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE18,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2311 	: 	: 	: 	: 	: 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	257603 	273871 	297536 	314630 	317043 	361127 	426212 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,AT	13802 	15334 	17458 	15592 	15919 	15769 b	16931 	16828 	17864 	18451 	18685 	19817 	20072 	20521 	21342 	21704 	22674 	23237 	23818 	24500 	25511 	27513 	30844 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,BE	12657 	12868 	13363 	13199 	13898 	13941 	14945 	15621 	15526 	15424 	16331 	16858 	16705 	17235 	17471 	18051 	19114 b	19104 	20060 	20144 	21926 	23527 	24656 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,BG	: 	: 	: 	2389 	2448 	3372 	3966 	4399 	4365 	4265 	4489 	5370 	4696 	4720 b	5004 	5096 	5871 	6077 	7605 	7432 	9806 	11602 	13427 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,CH	: 	: 	: 	: 	34135 	34353 	31071 	34596 	34027 	34392 	35150 	34737 b	35783 	34838 	35368 	34339 	31238 	33325 	35807 	33246 	35251 	36102 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,CY	: 	: 	5222 	5861 	6318 	6642 b	12003 	11834 	12441 	12734 	13371 	11903 	11628 	11713 	11897 	12642 	12678 	13304 	13275 	14000 	14532 	14840 	15519 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,CZ	: 	: 	119892 	125904 	136125 	143609 	151861 	157365 	159030 	163267 	163318 	162252 	164907 	172279 	175574 	182087 	192420 	208871 	224827 	230199 	253822 	288652 	298493 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,DE	: 	: 	16587 	14713 	15398 	16316 	16830 	17063 	17573 	17438 	17527 	17011 	17489 	17885 	18476 	19177 	19960 	22507 b	20787 	20753 	21892 	22627 	23584 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,DK	122778 	118484 	120263 	122909 	127218 	132306 	133867 	136659 	151390 b	162898 	153455 	164993 	171078 	168514 	170423 	174278 	174169 	177347 	188685 	204743 	286379 	214203 	222847 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,EE	: 	2096 	2351 	2702 	3151 	3658 	4366 	4539 	4450 	4578 	4947 	5303 b	5517 	5859 	6239 	6705 	7282 	8034 	8295 	9067 	10009 	11012 	12117 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,EL	7353 	7725 	8350 	8717 	9271 	9951 	10552 	10697 	9616 	9130 	8373 	7484 	7495 	7472 	7508 	7658 	7875 	8357 	8110 	8624 	8729 	9201 	9601 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,ES	: 	8940 	9264 	9857 	10577 	13455 b	14531 	14791 	14207 	14406 	14481 	13895 	13634 	13850 	13908 	14005 	14815 	15483 	15329 	15930 	17206 	18627 	19768 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,FI	: 	13094 	13350 	13708 	14094 	14509 	15683 	16539 	16741 	17695 	18520 	18962 	18879 	19120 	19384 	19612 	19343 	19859 	20058 	19867 	21710 	23546 	25044 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,FR	: 	14976 	15377 	14617 	16425 	19015 	19637 	20340 	20267 b	20738 	21415 	21105 	21266 	20954 	21235 	21478 	20865 	20327 b	20345 	20091 b	21207 	22431 	23522 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,HR	: 	: 	: 	: 	: 	: 	: 	33639 	31011 	31392 	31403 	32109 	32522 	33706 	35955 	37066 	39442 	42386 	43734 	46671 	6763 b	8185 b	9809 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,HU	: 	: 	835295 	876933 	958307 	1058834 	1130443 	1138221 	1125551 	1157297 	1199776 	1251622 	1284410 	1329753 	1377807 	1443401 	1641758 b	1731761 	1872392 	2232237 	2416147 	2698292 	2732554 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,IE	12250 	13187 	13830 	15745 	17322 	18353 	18178 	18200 	17666 	17393 	18264 	17791 	19260 	18996 	19003 	19677 	21629 b	22685 b	22814 	23848 	26863 	26750 	28153 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,IS	: 	1649124 	1787818 	1935937 	2378881 	2513646 	3364254 	3258401 	2791841 	2977561 	3092468 	3248631 	3539263 	3913898 	4702094 	4727553 	4826515 	4973361 	: 	: 	: 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,IT	: 	13150 	13173 	13538 	13998 	14489 	14763 	15272 	15190 	15538 	15484 	15712 	15667 	16261 	16580 	16841 	16799 	17433 	17333 	17437 	18896 	19298 	20304 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,LT	: 	: 	5826 	6736 	8425 	10760 	13334 	13194 	12172 	12476 	13767 	13422 	4036 	4447 	4490 	4913 	5537 	6152 	6951 	6581 	7314 	8106 p	8713 p
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,LU	28281 	28136 	30131 	30005 	30980 	31775 	32848 	33653 	34390 	34900 	35863 	35890 	36153 	37557 b	38836 	39607 	42171 	45355 b	49664 b	46176 b	49363 	49995 	51114 b
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,LV	: 	: 	1678 	1902 	2588 	3268 	3925 	3861 	3763 	3806 	3918 	3972 	4288 	4448 	4382 	4886 	4947 	5686 	6262 	6422 	7484 	8447 	8690 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3169 	3124 	3092 	3220 	3364 	3566 	3711 	3800 	3606 	3862 	4938 	: 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	116317 	122254 	123598 	132244 	139089 	150333 	164947 	168845 	188914 	194826 b	195627 	219184 	257117 	: 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,MT	: 	: 	3223 	3571 	8195 	8375 	9298 	9544 	9768 	10520 	10934 	11042 	11275 	10872 	11492 	11510 	12079 	13404 	13961 	14958 	14730 	15954 	17911 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,NL	: 	: 	15589 	15842 	15992 	16852 	18490 	18442 	17863 	18788 	18948 	18703 	19054 	19184 b	19517 	19718 	20225 	20967 	21578 	22293 	23179 	25163 	27200 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,NO	146358 	151513 	152582 	159114 	174259 	194350 	204340 	206310 	219609 	239497 	248610 	259756 	269763 	273492 	280996 	289640 	292915 	317156 	326620 b	366026 	375404 b	399349 	412515 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,PL	: 	: 	11793 	12528 	13196 	14417 	15263 	16538 	17379 	18231 	19309 	19861 	20593 	21017 	21570 	22770 	24549 	27241 	30351 	35009 	40220 	46231 	51403 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,PT	: 	7940 	8342 	8684 	8987 	8930 	9508 	9171 	9269 	10242 	9417 	8201 	8253 	8742 	8906 	9051 	9838 	10452 	10644 	10900 	11638 	11601 	13870 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,RO	: 	: 	: 	: 	4588 	5555 	7083 	7861 	8214 	8077 	8623 	8956 	9248 	9624 	10246 	12169 	13837 	15703 	17698 	23000 	26700 	31241 	31610 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	272732 	254877 	253901 	273313 	280502 	294323 	324041 	353256 	384825 	415444 	468769 	574306 	702278 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,SE	: 	119452 	126378 	139524 	144202 	140929 b	146599 	150958 	154372 	160902 	167471 	178120 	178528 	179292 	185650 	191916 	191855 	202180 	213694 	211090 	234243 	262665 	264492 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,SI	: 	: 	1639359 	1738876 	7423 	8020 	8848 	8461 	8517 	8891 	8370 	8957 	9117 	9031 	9546 	9887 	10605 	11064 	11674 	12309 	12939 	13978 	14221 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,SK	: 	: 	93780 	107318 	121106 	128916 	4757 	5210 	5801 	5973 	6218 	6348 	6228 	6473 	6425 	6843 	7052 	7528 	7697 	8450 	8998 	10026 	12387 
A,MEAN_EI,NAC,ED0-2,F,Y_GE65,TR	: 	: 	: 	8318 	10031 	8912 	10576 	10368 	11551 	11784 	13018 	10639 	11683 	13348 	14901 	17001 	21336 	24326 	28138 	36004 	57066 	104716 	212327 
