freq,statinfo,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,IE	15817 	17070 	17551 	18260 	20194 	21098 	20919 	19592 	17850 	17753 	17327 	17423 	18569 	18739 	19825 	20642 	20653 b	22747 b	24115 	25761 	28076 	29586 	31440 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,IS	: 	23681 	25967 	32589 	32120 	35584 	25071 	19697 	20125 	20829 	22585 	24735 	26339 	30861 	36497 	42418 	38554 	36292 	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,IT	: 	13783 	14274 	14485 	14527 	14918 	14873 	15461 	14910 	14909 	14457 	14365 	14129 	14004 	14567 	14774 	15259 	16031 	15648 	16328 	17278 	17880 	18865 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,LT	: 	: 	1799 	2007 	2610 	3114 	3570 	3401 	3066 	3484 	3610 	4001 	4683 	4691 	4783 	5735 	7507 	7224 	7991 	8539 	8968 	10980 p	11330 p
A,MEAN_EI,EUR,ED0-2,F,Y18-64,LU	24874 	26035 	26607 	27270 	28283 	28575 	28689 	29455 	28915 	28722 	28873 	29287 	30229 	29218 b	31647 	30490 	30526 	31210 b	33820 b	36021 b	36096 	39900 	40335 b
A,MEAN_EI,EUR,ED0-2,F,Y18-64,LV	: 	: 	1809 	2126 	2811 	3940 	4360 	3848 	3529 	3578 	3793 	4028 	4415 	4974 	5286 	5839 	6572 	6772 	7688 	8038 	9975 	11786 	11463 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2390 	2312 	2457 	2449 	2660 	2694 	2753 	3096 	2991 	3498 	4313 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	1609 	1754 	1888 	1952 	1987 	2063 	2100 	2155 	2383 	2485 b	2678 	3100 	3568 	: 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,MT	: 	: 	9233 	9400 	9397 	10355 	11027 	10868 	10948 	11404 	11530 	12132 	12684 	12849 	13475 	13844 	14318 	15249 	15710 	17043 	18052 	19226 	21117 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,NL	: 	: 	16949 	17748 	18063 	19732 	20311 	19891 	19648 	19915 	19827 	19620 	19743 	21239 b	22304 	22578 	23223 	24859 	25763 	27200 	27202 	29404 	32168 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,NO	28215 	26476 	25846 	29348 	27896 	31033 	32378 	31875 	34165 	36916 	40011 	41806 	37300 	36109 	36368 	36540 	36848 	37140 	34306 b	36394 	39857 b	38966 	38823 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,PL	: 	: 	2205 	2658 	2934 	3562 	4249 	3624 	4210 	4178 	4260 	4306 	4391 	4719 	4896 	5246 	5838 	6424 	7054 	7422 	8112 	9286 	11532 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,PT	: 	7415 	7796 	7961 	8295 	8739 	8586 	8941 	8630 	8533 	8176 	7784 	7775 	8150 	8352 	8688 	9314 	9767 	9931 	10000 	10877 	11740 	13224 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,RO	: 	: 	: 	: 	1360 	1675 	1791 	1675 	1642 	1566 	1538 	1555 	1975 	2102 	2059 	2379 	2702 	2908 	3306 	3810 	4279 	5484 	5636 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2001 	1944 	1935 	2131 	2080 	1977 	2435 	2768 	2880 	3390 	3849 	4534 	5758 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,SE	: 	17428 	18469 	18224 	19217 	19467 b	19253 	18469 	20194 	22920 	23111 	24611 	23190 	22726 	22806 	22938 	20634 	21885 	21329 	22919 	22076 	23373 	24731 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,SI	: 	: 	7862 	8363 	8786 	9650 	10606 	10080 	10415 	10334 	9952 	10076 	10386 	10391 	10805 	11237 	12006 	12597 	13144 	14276 	15207 	16975 	18581 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,SK	: 	: 	2646 	2966 	3415 	4252 	5030 	5153 	5285 	5644 	5672 	5522 	5525 	5494 	5549 	5720 	6104 	6432 	6238 	6354 	6540 	7331 	9979 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,TR	: 	: 	: 	3081 	3400 	3766 	3856 	3470 	4210 	4018 	4264 	3926 	3848 	4208 	4385 	3986 	3368 	3457 	3001 	3183 	3373 	4554 	6551 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,UK	: 	: 	16934 	17492 	18518 	16528 	14856 	15878 	14764 	16825 b	16815 	19405 	20650 	20006 	17630 b	19410 	: 	: 	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2219 	: 	: 	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1734 	1913 	2172 	2426 	2449 	2904 	3639 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,AT	14540 	15906 	16724 	16037 	16440 	16887 b	18137 	18165 	19258 	19458 	19636 	20383 	20482 	20615 	21586 	22066 	23146 	23053 	23397 	23582 	26323 	28102 	30216 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,BE	13770 	13452 	14490 	14634 	15152 	15365 	16246 	16306 	16238 	16150 	17014 	17241 	17100 	17507 	17622 	18170 	19484 b	19868 	20358 	20534 	22091 	23871 	25044 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,BG	: 	: 	: 	1157 	1195 	1870 	2213 	2247 	2116 	2139 	2188 	2486 	2414 	2233 b	2445 	2543 	2887 	3074 	3798 	3615 	4497 	5440 	6424 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,CH	: 	: 	: 	: 	25516 	24305 	24315 	25991 	28265 	31985 	33438 	31989 b	33127 	37085 	36331 	34895 	33347 	34701 	38841 	36649 	40868 	41458 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,CY	: 	: 	11317 	12443 	13466 	13800 b	14380 	13939 	14717 	14580 	14235 	13041 	12216 	12231 	12476 	13032 	13703 	13935 	14363 	14765 	15801 	17327 	17708 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,CZ	: 	: 	3850 	4325 	4909 	5405 	6367 	6211 	6556 	6788 	6600 	6442 	6176 	6472 	6883 	7364 	8118 	8657 	8960 	9740 	10860 	12258 	12421 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,DE	: 	: 	16864 	15620 	15958 	17045 	16953 	16881 	17075 	17342 	17326 	16765 	17294 	17315 	18133 	18900 	19302 	23659 b	21844 	21743 	22965 	23637 	24560 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,DK	19894 	19583 	19671 	20553 	20591 	21783 	21665 	22854 	24626 b	24264 	24085 	25554 	26325 	26025 	25968 	27668 	29175 	26487 	27948 	29376 	35552 	31910 	32758 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,EA	: 	: 	: 	: 	: 	15579 e	15775 e	15976 e	15669 e	15775 e	15587 e	15176 e	15167 e	15372 e	15806 e	16264 e	16490 	17564 b	17368 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,EA18	: 	: 	13564 	13553 	13919 	15411 	15705 	15905 	15620 	15730 	15542 	15176 	15218 	15419 	15852 	16309 	16533 	17604 b	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,EA19	: 	: 	13492 	13486 	13851 	15341 	15631 	15829 	15543 	15658 	15475 	15121 	15167 	15372 	15806 	16264 	16490 	17564 b	17368 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15044 	15034 	15244 	15681 	16143 	16375 	17453 	17286 	17671 	18794 	19651 	20733 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,EA21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20539 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,EE	: 	2226 	2558 	3007 	3604 	4109 	4846 	4832 	4625 	4894 	5445 	5899 b	6211 	6604 	7022 	7691 	8361 	9424 	9746 	11301 	12031 	12647 	13849 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,EL	7454 	7959 	8657 	9197 	9601 	9923 	10496 	10772 	9770 	8539 	7639 	7016 	7085 	7041 	7186 	7370 	7681 	8047 	7823 	8411 	8640 	9207 	9806 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,ES	: 	9594 	10011 	10466 	11086 	13702 b	14343 	14357 	13606 	13502 	13165 	12642 	12418 	12626 	12981 	13349 	13898 	14548 	14282 	15081 	16240 	17473 	18483 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,EU	: 	: 	: 	: 	: 	13601 e	13811 e	13944 e	13848 e	14037 e	13819 e	14254 e	14251 e	14338 e	14280 e	14981 e	15256 e	: 	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,EU27_2007	: 	: 	11963 e	12137 e	12444 	13601 	13811 	14020 	13937 	14123 	13906 	14341 	14338 	14421 	14367 	15065 	15337 e	: 	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,EU27_2020	: 	: 	: 	: 	: 	: 	: 	13869 e	13787 e	13814 e	13619 e	13503 e	13410 e	13589 e	14138 e	14655 e	14951 	15953 	15904 	16384 	17520 	18430 	19458 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,EU28	: 	: 	: 	: 	: 	: 	: 	13944 	13848 	14037 	13819 	14254 	14251 	14338 	14280 	14981 	15256 e	: 	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,FI	: 	15770 	15863 	15987 	16283 	16998 	18118 	18496 	18935 	19833 	20095 	20442 	20268 	20322 	20612 	20739 	20301 	21372 	21931 	21542 	23363 	24976 	25749 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,FR	: 	15146 	15451 	15241 	16042 	19051 	19186 	19630 	19704 b	20146 	20049 	20288 	20479 	20358 	20385 	21233 	20544 	19552 b	19743 	19591 b	20531 	21598 	22577 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,HR	: 	: 	: 	: 	: 	: 	: 	4842 	4506 	4378 	4302 	4396 	4458 	4689 	4935 	5150 	5548 	6016 	6076 	6584 	7245 b	8843 b	10619 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,HU	: 	: 	3201 	3404 	3505 	3979 	4278 	3772 	3847 	3902 	3739 	3800 	3795 	4074 	4278 	4472 	4954 b	5008 	5174 	5813 	5900 	6673 	6906 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,IE	14654 	15886 	16411 	17443 	19278 	20200 	19992 	19112 	17779 	17615 	17709 	17578 	18869 	18858 	19432 	20144 	21094 b	22715 b	23488 	24762 	27469 	28140 	29718 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,IS	: 	22540 	24550 	30575 	30762 	33608 	24589 	19461 	19275 	20106 	21585 	23059 	25038 	29350 	36049 	41353 	38200 	36266 	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,IT	: 	13546 	13843 	14097 	14311 	14742 	14826 	15381 	15032 	15191 	14932 	15010 	14878 	15090 	15539 	15769 	16017 	16747 	16513 	16907 	18109 	18599 	19620 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,LT	: 	: 	1734 	1974 	2504 	3116 	3759 	3675 	3378 	3575 	3870 	3923 	4251 	4530 	4581 	5162 	6168 	6509 	7323 	7436 	8000 	9298 p	9861 p
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,LU	25893 	26683 	27689 	28095 	29142 	29608 	29939 	30687 	30587 	30507 	30825 	31322 	31999 	31674 b	33753 	33200 	34132 	35114 b	38908 b	38892 b	40187 	43376 	43903 b
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,LV	: 	: 	1743 	2008 	2694 	3583 	4137 	3855 	3654 	3706 	3861 	3997 	4343 	4681 	4779 	5288 	5630 	6166 	6851 	7168 	8625 	10187 	10172 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2705 	2690 	2746 	2785 	3001 	3080 	3169 	3404 	3274 	3656 	4579 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	1680 	1814 	1922 	2010 	2071 	2183 	2282 	2343 	2610 	2721 b	2865 	3269 	3823 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,MT	: 	: 	8915 	9180 	9145 	9940 	10647 	10565 	10637 	11160 	11354 	11778 	12210 	12138 	12752 	12972 	13485 	14567 	15033 	16197 	16771 	17949 	19855 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,NL	: 	: 	16429 	17046 	17264 	18571 	19561 	19278 	18891 	19404 	19428 	19205 	19424 	20269 b	20982 	21208 	21759 	22870 	23630 	24722 	25217 	27276 	29603 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,NO	23307 	22202 	21497 	25694 	25614 	28425 	29634 	28643 	31594 	34899 	37672 	38824 	35811 	34284 	34238 	34797 	35015 	35805 	33213 b	36280 	39083 b	37697 	37710 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,PL	: 	: 	2405 	2888 	3173 	3695 	4301 	3730 	4288 	4311 	4454 	4546 	4689 	4894 	4923 	5306 	5792 	6372 	6920 	7573 	8416 	9860 	11791 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,PT	: 	7496 	7882 	8077 	8411 	8772 	8767 	8990 	8772 	8935 	8495 	7943 	7962 	8392 	8585 	8846 	9547 	10092 	10283 	10462 	11269 	11665 	13575 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,RO	: 	: 	: 	: 	1338 	1672 	1843 	1749 	1751 	1716 	1706 	1774 	2017 	2126 	2160 	2510 	2836 	3112 	3486 	4250 	4845 	5887 	5985 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2173 	2095 	2048 	2199 	2183 	2217 	2594 	2893 	3100 	3471 	3931 	4748 	5896 
